delay,scale,ans,msg
0.15197481248051153,0.8439647891316348,n,MOVE
-0.09036541520311014,0.9969022396526293,b,DON'T MOVE
-0.034305992367579474,0.9379071576119532,b,REST
-0.08156802690654082,0.8535419514798391,b,MOVE
0.05151516355179331,1.1411946121786871,n,MOVE
0.03193512407581803,0.952326785652205,n,REST
0.03997167864999501,0.921953078610335,n,DON'T MOVE
-0.09367235298579711,1.1070267735146355,b,DON'T MOVE
-0.08612564774345449,0.8717707404110483,b,REST
-0.09856471769048501,0.8672521098971805,b,REST
-0.06897442092450637,1.0126337639587453,b,DON'T MOVE
-0.14233427973863183,1.0862193715454203,b,MOVE
