delay,scale,ans,msg
0.17749923140584967,1.1764052345967664,n,MOVE
0.07272811964139336,1.0400157208367222,n,DON'T MOVE
-0.05619683977048559,1.097873798410574,b,DON'T MOVE
-0.025187218480263424,1.2240893199201457,b,DON'T MOVE
0.07905247837090595,1.1867557990149968,n,MOVE
-0.1759098113482921,0.9022722120123589,b,MOVE
0.06670668617826708,1.095008841752559,n,MOVE
0.06825514784726378,0.9848642791702302,n,REST
-0.11584697557046364,0.9896781148206442,b,REST
-0.1484294809380587,1.0410598501938373,b,DON'T MOVE
-0.07382865963032645,1.014404357116088,b,REST
-0.054515691622950974,1.1454273506962975,b,REST
0.028078708167151856,1.0761037725146994,n,REST
-0.024559394615071867,1.0121675016492828,b,MOVE
0.19534953522369047,1.0443863232745425,n,DON'T MOVE
-0.1591820757007888,1.0333674327374267,b,MOVE
-0.11644929756206612,1.1494079073157606,b,REST
-0.1354761928460015,0.9794841736234199,b,MOVE
0.06124333018615935,1.0313067701650902,n,DON'T MOVE
-0.09868335898408716,0.9145904260698275,b,REST
-0.01347569085747749,0.7447010184165921,b,MOVE
-0.1022297631993589,1.0653618595440362,b,REST
-0.1364121665417921,1.0864436198859506,b,DON'T MOVE
-0.15584994353427795,0.9257834979593558,b,DON'T MOVE
0.06253183578610938,1.2269754623987608,n,MOVE
-0.1447268194605545,0.8545634325401235,b,MOVE
-0.1213670553279786,1.0045758517301446,b,DON'T MOVE
-0.05250993173561436,0.9812816149974166,b,REST
0.12839729193917404,1.1532779214358457,n,DON'T MOVE
-0.1611594896827755,1.1469358769900284,b,REST
