delay,scale,ans,msg
0.10696198683604957,0.9392452302788774,n,DON'T MOVE
-0.12841043598354768,0.9873863585393575,b,REST
-0.04976969256498304,0.9315393641295364,b,REST
0.0010132237307737546,1.0928714748593453,n,DON'T MOVE
0.07466683196653834,0.8155598965949722,n,MOVE
-0.09852814053544674,0.9532997575922891,b,DON'T MOVE
0.021896345177023407,1.229249034315155,n,MOVE
0.049972337625639074,1.0488810054395579,n,DON'T MOVE
0.15820046642245844,1.0710266990660664,n,DON'T MOVE
-0.05485856462674943,1.105553444322415,b,DON'T MOVE
0.05502282920749468,1.0054073100345786,n,MOVE
-0.12342143915241466,1.0257953416341972,b,REST
-0.000882354153077719,1.0588281649703177,b,MOVE
-0.12702183817151727,1.0885244238612644,b,MOVE
0.1673532156559051,0.8982992975793107,n,MOVE
-0.027271171463508936,0.9866306968716673,b,MOVE
0.13207524083933853,0.9561814498667659,n,MOVE
-0.03328947812865496,1.0493443494428172,b,REST
0.16186703549734677,0.9800990880151687,n,REST
-0.03806991307563759,0.8725016392677853,b,MOVE
-0.0675301987635509,1.0293494154437874,b,REST
0.028855508109099454,1.010895031182666,n,REST
0.13817745963764533,1.0031726785859034,n,REST
0.1444057247012288,1.1272639863029459,n,REST
0.0382752468273338,1.1071447899447362,n,DON'T MOVE
-0.1661353555918359,1.0415818012158573,b,DON'T MOVE
0.03890664292766996,1.1550679231376864,n,REST
-0.10181851656675917,0.9688621083169718,b,DON'T MOVE
0.09303737943598711,0.8620760092642252,n,DON'T MOVE
0.1578605169266955,1.137140878667655,n,MOVE
