delay,scale,ans,msg
0.12086822496979016,0.9078229006786911,n,MOVE
0.0945626575245756,0.9413682365802234,n,MOVE
0.08365270031246691,1.1163999144628607,n,MOVE
0.01637474172101125,0.8758276040133846,n,MOVE
-0.1500703302477561,0.8014769777868829,b,REST
0.1830589181878674,1.130670890626721,n,DON'T MOVE
-0.038697480506032056,1.0737807059121611,b,REST
-0.11321953587057597,1.0379111281605145,b,MOVE
0.0869103385813278,1.0000989200863926,n,MOVE
0.19768297536877505,0.8894965181254206,n,REST
-0.09775437775966599,0.905669282297025,b,REST
0.06852377277571214,0.9279629572511181,n,DON'T MOVE
0.039602365255646615,1.2281289400504642,n,DON'T MOVE
0.0869328582222052,1.0034967269087471,n,DON'T MOVE
0.1749398138579618,0.932543132971412,n,REST
-0.0592760925841192,1.0218137822340376,b,DON'T MOVE
-0.09854636101144161,1.1166884021831858,b,DON'T MOVE
-0.03901099638529079,1.028014830323497,b,REST
