delay,scale,ans,msg
-0.08474176027680258,1.0850997408301906,b,REST
0.1638374110878455,1.017775492450045,n,MOVE
-0.1146458585680338,0.9146960288487962,b,MOVE
-0.01915041527292677,0.9556100322073934,b,DON'T MOVE
0.1724824078756087,0.9797062036938256,n,REST
-0.1900403089798608,1.110051556991201,b,DON'T MOVE
0.04021956698564902,0.6964863848189011,n,DON'T MOVE
0.18005180016545824,0.958543854866245,n,REST
-0.10787884839161409,0.8656912162349376,b,REST
0.019395967694412153,0.9226826095593565,n,DON'T MOVE
0.1636513499546925,0.8324793066473029,n,MOVE
-0.14673222169629996,1.0805277693649977,b,MOVE
