delay,scale,ans,msg
0.17886284734303187,0.8735947335223597,n,DON'T MOVE
0.043650985051198944,1.1527905351638439,n,DON'T MOVE
0.009649746807200862,0.902928906199114,n,DON'T MOVE
-0.1863492703364491,1.0470559615886426,b,DON'T MOVE
-0.027738820251439908,0.9899303283528478,b,REST
-0.035475897926898675,1.0303793184726124,b,DON'T MOVE
-0.008274148148245978,0.8274037571604632,b,DON'T MOVE
-0.06270006768238473,1.1585095369015541,b,MOVE
-0.004381816897592824,1.013429659312761,b,MOVE
-0.04772180303595027,0.8893144533358125,b,DON'T MOVE
-0.1313864753362682,1.1578225549157934,b,REST
0.08846223804995847,1.0107497942793031,n,DON'T MOVE
