delay,scale,ans,msg
-0.08436998879276492,1.1899852936148108,b,REST
0.1895420964801785,1.0208802953306586,n,MOVE
-0.06649038179573186,1.0895211035481447,b,REST
-0.11247957567206882,0.8819270843636848,b,MOVE
-0.17367664488511544,1.0273532539594452,b,REST
0.1931482186213735,1.06028672438848,n,DON'T MOVE
-0.14885771482998728,0.9338632567976768,b,DON'T MOVE
-0.07114768271832825,0.895638926103154,b,MOVE
-0.1716228620999205,0.9418851027305366,b,DON'T MOVE
-0.11009202441278183,0.9643647000167076,b,DON'T MOVE
-0.04254603402255802,1.0294073812932292,b,REST
0.15845800195225407,0.8203029362337897,n,MOVE
